id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,brand,google product category
6530,7. Emisyon 100 TL C67 ÇİL,,https://numismat.net/7-emisyon-100-tl-c64-cil,Used,49.9992,49.9992,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/1.jpg,,,,
türkiye7.Emisyon100TLD51,7. Emisyon 100 TL D51 ÇİL (-),,https://numismat.net/https-numismat-net-7-emisyon-100-tl-d51-ci-l,Used,48 TRY,48 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/7emmision/1.jpg,,,,
türkiye7.Emisyon100TLE61,7. Emisyon 100 TL E61 ÇİL,,https://numismat.net/https-numismat-net-7-emisyon-100-tl-e61-ci-l,Used,48 TRY,48 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/7emmision/2.jpg,,,,
"lübnan20161,000Lira220","Lübnan 2016 Yılı 1,000 Lira Çil",,https://numismat.net/https-numismat-net-lubnan-2016-yili-1-000-lira-cil,Used,6 TRY,6 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/44.jpg,,,,
rusya19975Ruble221,Rusya 1997 Yılı 5 Ruble Çil,,https://numismat.net/https-numismat-net-rusya-1997-yili-5-ruble-cil,Used,6.99996,6.99996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/45.jpg,,,,
kamboçya2014100Kyat222,Kamboçya 2014 Yılı 100 Kyat Çil,,https://numismat.net/https-numismat-net-kambocya-2014-yili-100-kyat-cil,Used,6.99996,6.99996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/46.jpg,,,,
suriye200950Lira223,Suriye 2009 Yılı 50 Lira Çil,,https://numismat.net/https-numismat-net-suriye-2009-yili-50-lira-cil,Used,6.99996,6.99996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/47.jpg,,,,
suriye2021100Lira224,Suriye 2021 Yılı 100 Lira Çil,,https://numismat.net/https-numismat-net-suriye-2021-yili-100-lira-cil,Used,6.99996,6.99996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/48.jpg,,,,
suriye2021200Lira225,Suriye 2021 Yılı 200 Lira Çil,,https://numismat.net/https-numismat-net-suriye-2021-yili-200-lira-cil,Used,6.99996,6.99996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/49.jpg,,,,
suriye2013500Lira226,Suriye 2013 Yılı 500 Lira Çil,,https://numismat.net/https-numismat-net-suriye-2013-yili-500-lira-cil,Used,6.99996,6.99996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/50.jpg,,,,
"suriye20131,000Lira227","Suriye 2013 Yılı 1,000 Lira Çil",,https://numismat.net/https-numismat-net-suriye-2013-yili-1-000-lira-cil,Used,6.99996,6.99996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/may24/51.jpg,,,,
